"","Prefix","Level","Semester","Competency","Student.Work","Form","PT1","SCI1","PT2","SCI2","PT3","SCI3","PT4","SCI4","Total","Mean","file"
"193","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",74,"3",NA,"",NA,"",NA,"","3","3",4
"194","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
"195","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",96,"4",NA,"",NA,"",NA,"","4","4",4
"196","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",4
"197","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",52,"1",NA,"",NA,"",NA,"","1","1",4
"198","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",62,"2",NA,"",NA,"",NA,"","2","2",4
"199","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",42,"0",NA,"",NA,"",NA,"","0","0",4
"200","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",92,"4",NA,"",NA,"",NA,"","4","4",4
"201","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",96,"4",NA,"",NA,"",NA,"","4","4",4
"202","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",92,"4",NA,"",NA,"",NA,"","4","4",4
"203","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",4
"204","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",4
"205","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",128,"4",NA,"",NA,"",NA,"","4","4",5
"206","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",82,"1",NA,"",NA,"",NA,"","1","1",5
"207","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",92,"2",NA,"",NA,"",NA,"","2","2",5
"208","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",100,"2",NA,"",NA,"",NA,"","2","2",5
"209","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",62,"0",NA,"",NA,"",NA,"","0","0",5
"210","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",78,"1",NA,"",NA,"",NA,"","1","1",5
"211","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",110,"3",NA,"",NA,"",NA,"","3","3",5
"212","BIOL","200","Fall 2011","Natural Sciences","a selected response exam","Score",84,"1",NA,"",NA,"",NA,"","1","1",5
